Reach ID,Date,NO3-N concentration (mg/l),NO3-N  loading (kg/d)
6,2016-02,410.281,0.021
6,2016-03,49.966,0.03
6,2016-04,4.174,0.181
6,2016-05,2.777,0.442
6,2016-06,677.447,0.02
6,2016-07,3.92,0.168
6,2016-08,51.073,0.017
6,2016-09,951.499,0.016
6,2016-10,1.387,0.064
6,2016-11,44.194,0.041
6,2016-12,443.492,0.02
6,2017-01,378.085,0.02
6,2017-02,0.0,0.0
6,2017-03,2.283,1.235
6,2017-04,7.016,0.104
6,2017-05,4.293,1.271
6,2017-06,399.062,0.026
6,2017-07,4.359,0.054
6,2017-08,0.0,0.0
6,2017-09,53.189,0.018
6,2017-10,0.0,0.0
6,2017-11,39.276,0.019
6,2017-12,83.196,0.024
6,2018-01,0.0,0.0
6,2018-02,0.0,0.0
6,2018-03,7.654,2.708
6,2018-04,73.69,0.039
6,2018-05,308.911,0.022
6,2018-06,312.942,0.024
6,2018-07,472.849,0.023
6,2018-08,1.989,0.058
6,2018-09,0.0,0.0
6,2018-10,0.892,0.437
6,2018-11,1.784,2.115
6,2018-12,25.797,0.047
6,2019-01,4.683,0.191
6,2019-02,0.0,0.0
6,2019-03,0.0,0.0
6,2019-04,14.628,0.704
6,2019-05,0.97,0.527
6,2019-06,9.185,2.853
6,2019-07,387.777,0.025
6,2019-08,118.616,0.023
6,2019-09,4.537,0.045
6,2019-10,40.358,0.019
6,2019-11,1.889,0.109
6,2019-12,5.559,0.629
6,2020-01,47.908,0.03
6,2020-02,0.0,0.0
6,2020-03,0.0,0.0
6,2020-04,30.84,0.034
6,2020-05,17.18,0.043
6,2020-06,289.381,0.025
6,2020-07,136.415,0.022
6,2020-08,7.331,0.038
6,2020-09,84.037,0.031
6,2020-10,7.637,0.038
6,2020-11,16.455,0.032
6,2020-12,7.795,0.071
6,2021-01,9.447,0.037
6,2021-02,0.0,0.0
6,2021-03,85.967,0.029
6,2021-04,181.654,0.021
6,2021-05,11.159,0.013
6,2021-06,828.744,0.017
6,2021-07,0.0,0.0
6,2021-08,20.058,0.019
6,2021-09,3.254,0.021
6,2021-10,2143.985,0.016
6,2021-11,30.353,0.023
6,2021-12,21.294,0.025
6,2022-01,40.37,0.028
6,2022-02,0.0,0.0
6,2022-03,87.412,0.023
6,2022-04,57.727,0.024
6,2022-05,1.762,0.187
6,2022-06,5.018,0.017
7,2016-01,279.24,0.008
7,2016-02,289.793,0.008
7,2016-03,369.006,0.008
7,2016-04,3.355,0.11
7,2016-05,2.531,0.308
7,2016-06,0.0,0.0
7,2016-07,3.965,0.097
7,2016-08,24.21,0.008
7,2016-09,1360.619,0.008
7,2016-10,0.953,0.032
7,2016-11,40.027,0.025
7,2016-12,332.307,0.009
7,2017-01,340.94,0.008
7,2017-02,0.0,0.0
7,2017-03,2.065,0.868
7,2017-04,4.558,0.053
7,2017-05,4.049,0.872
7,2017-06,2108.159,0.009
7,2017-07,3.215,0.029
7,2017-08,0.0,0.0
7,2017-09,40.54,0.009
7,2017-10,0.0,0.0
7,2017-11,235.328,0.009
7,2017-12,568.665,0.009
7,2018-01,0.0,0.0
7,2018-02,0.0,0.0
7,2018-03,7.604,2.203
7,2018-04,52.188,0.013
7,2018-05,1517.108,0.009
7,2018-06,1919.965,0.009
7,2018-07,4107.111,0.009
7,2018-08,1.401,0.037
