Table Name,Table Alias,Column Name,Column Alias,"Note: This is a weather generator parameter table, and might not be used in the current IMWEBs model. Can Zhiqiang have a check of the code? Remove this table from HydroClimate.db3 if it was not used."
JEN_WGN_13,Station 13,TMPMN,Minimum temperature,
JEN_WGN_13,Station 13,PCF,Path coefficient factor,
JEN_WGN_13,Station 13,TMPMX,Maximum temperature,
JEN_WGN_13,Station 13,WNDDIRSTD,STD of wind speed,
JEN_WGN_13,Station 13,PCPDAYS,Precipitation days,
JEN_WGN_13,Station 13,SOLARAV,Average solar radiation,
JEN_WGN_13,Station 13,DEWPT,Dew point temperature,
JEN_WGN_13,Station 13,TMPSTDMN,STD of Min temperature,
JEN_WGN_13,Station 13,PCPSTD,STD of precipitation,
JEN_WGN_14,Station 14,Month,Month,
JEN_WGN_14,Station 14,RAINHHMXSmooth,0.5 hour average rainfall,
JEN_WGN_14,Station 14,AMP_R,Amplifier ,
JEN_WGN_14,Station 14,RAINHHMX,0.5 hour Max rainfall,
JEN_WGN_14,Station 14,TMPSTDMX,STD of Max temperature,
JEN_WGN_14,Station 14,PCPDAYMM,Mean daily rainfall,
JEN_WGN_14,Station 14,PCPMONMM,Mean monthly rainfall,
JEN_WGN_14,Station 14,PR_W1,Probability of wet day after dry day,
JEN_WGN_14,Station 14,PR_W3,Probability of wet day,
JEN_WGN_14,Station 14,PCPSKW,PCP skewnes,
JEN_WGN_14,Station 14,WNDAV,Average wind speed,
JEN_WGN_14,Station 14,WNDDIR,Wind direction,
JEN_WGN_14,Station 14,PR_W2,Probability of wet day after wet day,
JEN_WGN_14,Station 14,TMPMN,Minimum temperature,
JEN_WGN_14,Station 14,PCF,Path coefficient factor,
JEN_WGN_14,Station 14,TMPMX,Maximum temperature,
JEN_WGN_14,Station 14,WNDDIRSTD,STD of wind speed,
JEN_WGN_14,Station 14,PCPDAYS,Precipitation days,
JEN_WGN_14,Station 14,SOLARAV,Average solar radiation,
JEN_WGN_14,Station 14,DEWPT,Dew point temperature,
JEN_WGN_14,Station 14,TMPSTDMN,STD of Min temperature,
JEN_WGN_14,Station 14,PCPSTD,STD of precipitation,
JEN_PCP_02,PCP station 2,UID,UID,
JEN_PCP_02,PCP station 2,Date,Date,
JEN_PCP_02,PCP station 2,VALUE,Value,
JEN_TMX_01,TMX station 1,UID,UID,
JEN_TMX_01,TMX station 1,Date,Date,
JEN_TMX_01,TMX station 1,VALUE,Value,
JEN_TMN_01,TMN station 1,UID,UID,
JEN_TMN_01,TMN station 1,Date,Date,
JEN_TMN_01,TMN station 1,VALUE,Value,
JEN_SLR_01,SLR station 1,UID,UID,
JEN_SLR_01,SLR station 1,Date,Date,
JEN_SLR_01,SLR station 1,VALUE,Value,
JEN_WSPD_01,WSPD station 1,UID,UID,
JEN_WSPD_01,WSPD station 1,Date,Date,
JEN_WSPD_01,WSPD station 1,VALUE,Value,
JEN_WDIR_01,WDOR station 1,UID,UID,
JEN_WDIR_01,WDOR station 1,Date,Date,
JEN_WDIR_01,WDOR station 1,VALUE,Value,
JEN_PCP_01,PCP station 1,UID,UID,
JEN_PCP_01,PCP station 1,Date,Date,
JEN_PCP_01,PCP station 1,VALUE,Value,
JEN_TMX_02,TMX station 2,UID,UID,
JEN_TMX_02,TMX station 2,Date,Date,
JEN_TMX_02,TMX station 2,VALUE,Value,
JEN_TMN_02,TMN station 2,UID,UID,
JEN_TMN_02,TMN station 2,Date,Date,
JEN_TMN_02,TMN station 2,VALUE,Value,
JEN_SLR_02,SLR station 2,UID,UID,
JEN_SLR_02,SLR station 2,Date,Date,
JEN_SLR_02,SLR station 2,VALUE,Value,
JEN_WSPD_02,WSPD station 2,UID,UID,
JEN_WSPD_02,WSPD station 2,Date,Date,
JEN_WSPD_02,WSPD station 2,VALUE,Value,
JEN_WDIR_02,WDOR station 2,UID,UID,
JEN_WDIR_02,WDOR station 2,Date,Date,
JEN_WDIR_02,WDOR station 2,VALUE,Value,
JEN_PCP_03,PCP station 3,UID,UID,
JEN_PCP_03,PCP station 3,Date,Date,
JEN_PCP_03,PCP station 3,VALUE,Value,
JEN_TMX_03,TMX station 3,UID,UID,
JEN_TMX_03,TMX station 3,Date,Date,
JEN_TMX_03,TMX station 3,VALUE,Value,
